__time,/effort_control_sim/data.0,/effort_control_sim/layout/data_offset,/joint_states_sim/header/stamp,/joint_states_sim/joint0/position,/joint_states_sim/joint0/velocity,/joint_states_sim/joint1/position,/joint_states_sim/joint1/velocity
1707430393.951737,,,55.454000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.953428,,,55.456000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.955647,,,55.458000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.957953,,,55.460000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.960246,,,55.462000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.961951,,,55.464000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.964212,,,55.466000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.966488,,,55.468000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.968783,,,55.470000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.970452,,,55.472000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.972711,,,55.474000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.974979,,,55.476000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.977226,,,55.478000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.979501,,,55.480000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.981185,,,55.482000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.983440,,,55.484000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.985696,,,55.486000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.987950,,,55.488000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.989685,,,55.490000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.991901,,,55.492000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430393.994149,,,55.494000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430393.996579,,,55.496000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430393.998832,,,55.498000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.000529,,,55.500000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.002818,,,55.502000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.005061,,,55.504000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.006754,,,55.506000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.009017,,,55.508000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.011275,,,55.510000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.013590,,,55.512000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.015846,,,55.514000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.017556,,,55.516000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.019792,,,55.518000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.022070,,,55.520000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.023769,,,55.522000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.026555,,,55.524000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.028250,,,55.526000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.030504,,,55.528000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.032754,,,55.530000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.034449,,,55.532000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.036744,,,55.534000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.038993,,,55.536000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.041291,,,55.538000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.043549,,,55.540000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.045870,,,55.542000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.047574,,,55.544000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.049860,,,55.546000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.052080,,,55.548000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.053814,,,55.550000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.056046,,,55.552000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.058335,,,55.554000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.060553,,,55.556000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.062821,,,55.558000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.065048,,,55.560000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.066751,,,55.562000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.069021,,,55.564000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.071303,,,55.566000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.072987,,,55.568000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.075243,,,55.570000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.077549,,,55.572000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.079783,,,55.574000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.082030,,,55.576000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.084314,,,55.578000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.086026,,,55.580000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.088292,,,55.582000000,0.000000000,0.000000000,-0.000000000,-0.000000000
