__time,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1686597918.909711,1686597918.909542084,0.000000000,0.235645814,0.000000000,0.000000000,-6.465465368,13.997576187
1686597918.911984,1686597918.911786318,0.000000000,0.235645814,0.000000000,0.000000000,-6.434797736,14.285197585
1686597918.914271,1686597918.913812876,0.000000000,0.235645814,0.000000000,0.000000000,-6.404705348,14.189323786
1686597918.915943,1686597918.915763378,0.000000000,0.235645814,0.000000000,0.000000000,-6.376290750,14.189323786
1686597918.918281,1686597918.917618752,0.000000000,0.235645814,0.000000000,0.000000000,-6.351759042,14.093449987
1686597918.919986,1686597918.919648647,0.000000000,0.235645814,0.000000000,0.000000000,-6.323320476,14.189323786
1686597918.921687,1686597918.921603203,0.000000000,0.235645814,0.000000000,0.000000000,-6.294366589,14.381071384
1686597918.923939,1686597918.923525095,0.000000000,0.235645814,0.000000000,0.000000000,-6.265268891,14.572818983
1686597918.925741,1686597918.925544024,0.000000000,0.235645814,0.000000000,0.000000000,-6.236530720,14.381071384
1686597918.928066,1686597918.927547216,0.000000000,0.235645814,0.000000000,0.000000000,-6.208427712,14.189323786
1686597918.929852,1686597918.929639101,0.000000000,0.235645814,0.000000000,0.000000000,-6.180204863,14.093449987
1686597918.932283,1686597918.931825161,0.000000000,0.235645814,0.000000000,0.000000000,-6.150687717,13.997576187
1686597918.934103,1686597918.933693886,0.000000000,0.235645814,0.000000000,0.000000000,-6.123064078,13.901702388
1686597918.935954,1686597918.935564756,0.000000000,0.235645814,0.000000000,0.000000000,-6.096878547,14.093449987
1686597918.938223,1686597918.937787294,0.000000000,0.235645814,0.000000000,0.000000000,-6.065527814,13.901702388
1686597918.940889,1686597918.940158844,0.000000000,0.235645814,0.000000000,0.000000000,-6.032271590,13.997576187
1686597918.943951,1686597918.943100691,0.000000000,0.235645814,0.000000000,0.000000000,-5.999650530,13.805828589
1686597918.946582,1686597918.946377039,0.000000000,0.235645814,0.000000000,0.000000000,-5.948837417,13.614080991
1686597918.949082,1686597918.948729038,0.000000000,0.235645814,0.000000000,0.000000000,-5.916863504,13.614080991
1686597918.950959,1686597918.950792074,0.000000000,0.235645814,0.000000000,0.000000000,-5.888377002,13.518207191
1686597918.953205,1686597918.952616692,0.000000000,0.235645814,0.000000000,0.000000000,-5.864792047,13.422333392
1686597918.954878,1686597918.954326153,0.000000000,0.235645814,0.000000000,0.000000000,-5.841099235,13.422333392
1686597918.957208,1686597918.957010508,0.000000000,0.235645814,0.000000000,0.000000000,-5.807902932,13.326459593
1686597918.959430,1686597918.958904743,0.000000000,0.235645814,0.000000000,0.000000000,-5.780111514,13.230585794
1686597918.961103,1686597918.960877419,0.000000000,0.235645814,0.000000000,0.000000000,-5.754057809,13.134711994
1686597918.963340,1686597918.962789536,0.000000000,0.235645814,0.000000000,0.000000000,-5.729526101,13.134711994
1686597918.965022,1686597918.964656115,0.000000000,0.235645814,0.000000000,0.000000000,-5.706780042,13.038838195
1686597918.966678,1686597918.966403008,0.000000000,0.235645814,0.000000000,0.000000000,-5.684189778,12.942964396
1686597918.968360,1686597918.968238831,0.000000000,0.235645814,0.000000000,0.000000000,-5.659406401,13.134711994
1686597918.970608,1686597918.970085144,0.000000000,0.235645814,0.000000000,0.000000000,-5.635270172,13.038838195
1686597918.972317,1686597918.971897125,0.000000000,0.235645814,0.000000000,0.000000000,-5.611157911,12.847090597
1686597918.974029,1686597918.973770857,0.000000000,0.235645814,0.000000000,0.000000000,-5.589490433,12.655342998
1686597918.975810,1686597918.975512028,0.000000000,0.235645814,0.000000000,0.000000000,-5.566121194,12.559469199
1686597918.978046,1686597918.977502108,0.000000000,0.235645814,0.000000000,0.000000000,-5.543171403,12.367721600
1686597918.979779,1686597918.979161263,0.000000000,0.235645814,0.000000000,0.000000000,-5.521755594,12.271847801
1686597918.981472,1686597918.981042147,0.000000000,0.235645814,0.000000000,0.000000000,-5.498745882,12.271847801
1686597918.983161,1686597918.982858658,0.000000000,0.235645814,0.000000000,0.000000000,-5.477270151,12.271847801
1686597918.984853,1686597918.984608889,0.000000000,0.235645814,0.000000000,0.000000000,-5.456489505,12.080100203
1686597918.986542,1686597918.986287117,0.000000000,0.235645814,0.000000000,0.000000000,-5.435169569,12.080100203
1686597918.988240,1686597918.988040686,0.000000000,0.235645814,0.000000000,0.000000000,-5.415155913,11.696605006
1686597918.989942,1686597918.989780426,0.000000000,0.235645814,0.000000000,0.000000000,-5.394962494,11.600731206
1686597918.992104,1686597918.991581440,0.000000000,0.235645814,0.000000000,0.000000000,-5.374649233,11.600731206
1686597918.993846,1686597918.993614197,0.000000000,0.235645814,0.000000000,0.000000000,-5.352574291,11.217236009
1686597918.996094,1686597918.995609283,0.000000000,0.235645814,0.000000000,0.000000000,-5.330295617,11.121362210
1686597918.997794,1686597918.997650146,0.000000000,0.235645814,0.000000000,0.000000000,-5.306710662,11.121362210
1686597919.000020,1686597918.999541283,0.000000000,0.235645814,0.000000000,0.000000000,-5.286373432,10.929614612
1686597919.002290,1686597919.001612186,0.000000000,0.235645814,0.000000000,0.000000000,-5.265317149,10.641993214
1686597919.004027,1686597919.003676176,0.000000000,0.235645814,0.000000000,0.000000000,-5.242726885,10.641993214
1686597919.005717,1686597919.005529165,0.000000000,0.235645814,0.000000000,0.000000000,-5.223408315,10.354371816
1686597919.007995,1686597919.007530689,0.000000000,0.235645814,0.000000000,0.000000000,-5.203502517,10.162624218
1686597919.009684,1686597919.009540558,0.000000000,0.235645814,0.000000000,0.000000000,-5.183500846,9.970876619
1686597919.011985,1686597919.011681080,0.000000000,0.235645814,0.000000000,0.000000000,-5.163031790,9.875002820
1686597919.014166,1686597919.013652325,0.000000000,0.235645814,0.000000000,0.000000000,-5.144132667,9.491507623
1686597919.015863,1686597919.015625477,0.000000000,0.235645814,0.000000000,0.000000000,-5.126312124,9.587381422
1686597919.018084,1686597919.017640591,0.000000000,0.235645814,0.000000000,0.000000000,-5.106574106,9.395633824
1686597919.019788,1686597919.019629002,0.000000000,0.235645814,0.000000000,0.000000000,-5.089256901,9.299760025
