__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.1/values.1,/dynamic_joint_states/interface_values.1/values.7,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.7,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/parameter_events/new_parameters.0/value/bool_value,/parameter_events/new_parameters.0/value/double_value,/parameter_events/new_parameters.0/value/integer_value,/parameter_events/new_parameters.0/value/type,/parameter_events/stamp/nanosec,/parameter_events/stamp/sec,/tf/arm1/arm2/header/stamp,/tf/arm1/arm2/rotation/w,/tf/arm1/arm2/rotation/x,/tf/arm1/arm2/rotation/y,/tf/arm1/arm2/rotation/z,/tf/arm1/arm2/translation/x,/tf/arm1/arm2/translation/y,/tf/arm1/arm2/translation/z,/tf/base_link/arm1/header/stamp,/tf/base_link/arm1/rotation/w,/tf/base_link/arm1/rotation/x,/tf/base_link/arm1/rotation/y,/tf/base_link/arm1/rotation/z,/tf/base_link/arm1/translation/x,/tf/base_link/arm1/translation/y,/tf/base_link/arm1/translation/z
1699470926.889722,,,,,,,,,,1699470926.889353514,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.891434,,,,,,,,,,1699470926.891306639,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.891915,1699470926.891306639,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.893680,1699470926.893316984,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.893796,,,,,,,,,,1699470926.893316984,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.895519,1699470926.895340204,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.896032,,,,,,,,,,1699470926.895340204,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.897732,,,,,,,,,,1699470926.897342443,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.897847,1699470926.897342443,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.899693,1699470926.899325371,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.899991,,,,,,,,,,1699470926.899325371,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.901525,1699470926.901304483,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.901643,,,,,,,,,,1699470926.901304483,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.903889,,,,,,,,,,1699470926.903369188,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.904027,1699470926.903369188,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.905563,,,,,,,,,,1699470926.905350685,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.905787,1699470926.905350685,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.907579,1699470926.907329082,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.907801,,,,,,,,,,1699470926.907329082,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.909566,,,,,,,,,,1699470926.909341335,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.910052,1699470926.909341335,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.911837,1699470926.911326170,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.911880,,,,,,,,,,1699470926.911326170,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.913574,,,,,,,,,,1699470926.913314581,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.913723,1699470926.913314581,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.915534,1699470926.915310621,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.915769,,,,,,,,,,1699470926.915310621,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.917462,,,,,,,,,,1699470926.917304993,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.917983,1699470926.917304993,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.919709,,,,,,,,,,1699470926.919420958,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.919821,1699470926.919420958,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.921706,1699470926.921322584,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.921976,,,,,,,,,,1699470926.921322584,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.923459,1699470926.923303366,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.923641,,,,,,,,,,1699470926.923303366,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.925874,1699470926.925314188,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.925892,,,,,,,,,,1699470926.925314188,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.925997,,,,,,,,,,,,,,,,,,,,,,,1699470926.925314188,-0.018119151,0.999835835,0.000000000,0.000000000,0.093525000,0.000000000,0.000000000,1699470926.925314188,-0.370243149,0.000000000,0.000000000,0.928934880,0.000000000,0.000000000,0.199000000
1699470926.927603,,,,,,,,,,1699470926.927327871,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.927632,1699470926.927327871,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.929508,1699470926.929312229,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
