__time,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1707670566.058795,,,1707670566.058279276,0.000000000,5.443425202,7.448196528,0.000000000,0.739157687,-0.449408481
1707670566.060585,,,1707670566.060074329,0.000000000,5.456622080,7.472164978,0.000000000,0.737957766,-0.485361155
1707670566.063097,,,1707670566.062665462,0.000000000,5.471630824,7.490141315,0.000000000,0.736047032,-0.563258617
1707670566.064949,,,1707670566.064287186,0.000000000,5.488594494,7.484149202,0.000000000,0.734467361,-0.629171854
1707670566.066743,,,1707670566.066027641,0.000000000,5.501983121,7.526093990,0.000000000,0.733032250,-0.671116642
1707670566.068605,,,1707670566.068203449,0.000000000,5.518366305,7.562046664,0.000000000,0.730906548,-0.743021991
1707670566.070474,,,1707670566.070231915,0.000000000,5.533784010,7.597999339,0.000000000,0.728923159,-0.790958937
1707670566.072767,,,1707670566.072160482,0.000000000,5.549287852,7.526093990,0.000000000,0.726578745,-0.874848512
1707670566.074590,,,1707670566.074279308,0.000000000,5.563558817,7.544070327,0.000000000,0.724057564,-0.964730199
1707670566.076298,,,1707670566.076030254,0.000000000,5.577430557,7.508117652,0.000000000,0.721868196,-1.000682873
1707670566.078783,,,1707670566.078196526,0.000000000,5.594191245,7.592007227,0.000000000,0.718961272,-1.084572448
1707670566.080875,,,1707670566.080653667,0.000000000,5.612639461,7.639944126,0.000000000,0.715527792,-1.180446247
1707670566.082702,,,1707670566.082404137,0.000000000,5.627292423,7.675896801,0.000000000,0.712557951,-1.258343709
1707670566.084508,,,1707670566.084194660,0.000000000,5.641101995,7.717841588,0.000000000,0.709748399,-1.330249058
1707670566.086348,,,1707670566.086157560,0.000000000,5.656455285,7.723833701,0.000000000,0.706591305,-1.384178070
1707670566.088700,,,1707670566.088118076,0.000000000,5.670980166,7.711849476,0.000000000,0.703297141,-1.456083420
1707670566.090505,,,1707670566.090235472,0.000000000,5.687583561,7.741810038,0.000000000,0.699725842,-1.516004544
1707670566.092353,,,1707670566.092138052,0.000000000,5.702593802,7.795739050,0.000000000,0.696263899,-1.557949331
1707670566.094733,,,1707670566.094055891,0.000000000,5.718675134,7.849668062,0.000000000,0.692697094,-1.623862662
1707670566.096545,,,1707670566.096025229,0.000000000,5.734870316,7.903597074,0.000000000,0.688735559,-1.701760124
1707670566.098843,,,1707670566.098211288,0.000000000,5.751649729,7.903597074,0.000000000,0.684672157,-1.755689136
