__time,/effort_control/data.0,/joint_states/header/stamp,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/position,/joint_states/joint1/velocity
1699809380.77861,,1699809380.77809,24.207565058,0,-6.266492031,0
1699809380.78035,,,,,,
1699809380.7805,,1699809380.78019,24.207565058,0,-6.266492031,0
1699809380.78232,,1699809380.78214,24.207565058,0,-6.266492031,0
1699809380.78277,,,,,,
1699809380.78449,,,,,,
1699809380.78467,,1699809380.78419,24.207565058,0,-6.266492031,0
1699809380.78647,,1699809380.78622,24.207565058,0,-6.266492031,0
1699809380.78678,,,,,,
1699809380.78826,,1699809380.78809,24.207565058,0,-6.266492031,0
1699809380.78861,,,,,,
1699809380.79039,,,,,,
1699809380.79058,,1699809380.79022,24.207565058,0,-6.266492031,0
1699809380.79242,,1699809380.79211,24.207565058,0,-6.266492031,0
1699809380.79262,,,,,,
1699809380.79444,,,,,,
1699809380.79483,,1699809380.79426,24.207565058,0,-6.266492031,0
1699809380.79666,,1699809380.79618,24.207565058,0,-6.266492031,0
1699809380.79675,,,,,,
1699809380.79847,,1699809380.79826,24.207565058,0,-6.266492031,0
1699809380.79849,,,,,,
1699809380.80098,,,,,,
1699809380.80102,,1699809380.8002,24.207565058,0,-6.266492031,0
1699809380.80282,,,,,,
1699809380.80287,,1699809380.80237,24.207565058,0,-6.266492031,0
1699809380.80446,,,,,,
1699809380.80469,,1699809380.80416,24.207565058,0,-6.266492031,0
1699809380.8064,,1699809380.80619,24.207565058,0,-6.266492031,0
1699809380.80683,,,,,,
1699809380.80872,,,,,,
1699809380.80884,,1699809380.80819,24.207565058,0,-6.266492031,0
1699809380.81062,,,,,,
1699809380.81064,,1699809380.81021,24.207565058,0,-6.266492031,0
1699809380.81244,,,,,,
1699809380.81246,,1699809380.81219,24.207565058,0,-6.266492031,0
1699809380.81482,,1699809380.81419,24.207565058,0,-6.267211084,-0.287621421
1699809380.81491,,,,,,
1699809380.81659,,1699809380.81619,24.207565058,0,-6.267786327,-0.287621421
1699809380.81671,,,,,,
1699809380.81861,,,,,,
1699809380.81908,,1699809380.81835,24.207565058,0,-6.267750375,-0.095873817
1699809380.81918,,,,,,
1699809380.82044,,,,,,
1699809380.82099,,1699809380.82018,24.207565058,0,-6.267654501,0
1699809380.82278,,1699809380.82225,24.207565058,0,-6.267654501,0
1699809380.82289,,,,,,
1699809380.82488,,,,,,
1699809380.8249,,1699809380.82447,24.207565058,0,-6.267654501,0
1699809380.8267,,,,,,
1699809380.82671,,1699809380.82638,24.207565058,0,-6.267930138,-0.095873805
1699809380.8285,,1699809380.8282,24.207565058,0,-6.268109901,-0.095873805
1699809380.82861,,,,,,
1699809380.83084,,1699809380.8303,24.207565058,0,-6.268313633,-0.095873805
1699809380.83095,,,,,,
1699809380.83262,,1699809380.83211,24.207565058,0,-6.268493396,-0.095873805
1699809380.83283,,,,,,
1699809380.83439,,1699809380.83405,24.207565058,0,-6.269020702,-0.19174761
1699809380.83465,,,,,,
1699809380.8365,,,,,,
1699809380.83674,,1699809380.83609,24.207565058,0,-6.26921245,-0.095873805
1699809380.83835,,,,,,
1699809380.83852,,1699809380.83811,24.207565058,0,-6.269188482,0
1699809380.8403,,1699809380.84019,24.207565058,0,-6.269536024,-0.095873805
1699809380.84078,,,,,,
1699809380.84263,,,,,,
1699809380.84264,,1699809380.84211,24.207565058,0,-6.269727772,-0.095873805
1699809380.84444,,,,,,
1699809380.84446,,1699809380.84422,24.207565058,0,-6.269919519,-0.095873805
1699809380.84635,,,,,,
1699809380.84684,,1699809380.84619,24.207565058,0,-6.270111267,-0.095873805
1699809380.84864,,1699809380.84811,24.207565058,0,-6.270662541,-0.19174761
1699809380.84875,,,,,,
1699809380.8504,,1699809380.85019,24.207565058,0,-6.270794368,-0.095873805
1699809380.85062,,,,,,
1699809380.85244,,,,,,
1699809380.85276,,1699809380.85209,24.207565058,0,-6.270722462,0
1699809380.8543,,,,,,
1699809380.85452,,1699809380.85409,24.207565058,0,-6.270962147,-0.095873805
1699809380.85674,,,,,,
1699809380.85688,,1699809380.85619,24.207565058,0,-6.271153894,-0.095873805
1699809380.85856,,,,,,
1699809380.85867,,1699809380.85811,24.207565058,0,-6.271345642,-0.095873805
1699809380.86036,,,,,,
1699809380.86048,,1699809380.86011,24.207565058,0,-6.272172554,-0.287621421
1699809380.86285,,,,,,
1699809380.86287,,1699809380.86219,24.207565058,0,-6.272268427,-0.191747622
1699809380.86468,,,,,,
1699809380.86471,,1699809380.86412,24.207565058,0,-6.272675891,-0.191747622
1699809380.86646,,,,,,
1699809380.86648,,1699809380.86619,24.207565058,0,-6.273059386,-0.191747622
1699809380.8683,,,,,,
1699809380.86831,,1699809380.86811,24.207565058,0,-6.273143276,-0.095873817
1699809380.87065,,1699809380.87016,24.207565058,0,-6.27323915,-0.095873805
1699809380.87077,,,,,,
1699809380.87078,,,,,,
1699809380.87233,,1699809380.87209,24.207565058,0,-6.273430897,-0.095873805
1699809380.87254,,,,,,
1699809380.87432,,,,,,
1699809380.87458,,1699809380.87411,24.207565058,0,-6.273622645,-0.095873805
1699809380.87625,,1699809380.87611,24.207565058,0,-6.274030108,-0.19174761
1699809380.87663,,,,,,
1699809380.87844,,,,,,
1699809380.87854,,1699809380.87809,24.207565058,0,-6.274413604,-0.19174761
1699809380.88074,,1699809380.88019,24.207565058,0,-6.274581383,-0.095873805
1699809380.88086,,,,,,
1699809380.88243,,1699809380.88216,24.207565058,0,-6.275120673,-0.19174761
1699809380.88262,,,,,,
1699809380.88442,,,,,,
1699809380.88466,,1699809380.88419,24.207565058,0,-6.275504168,-0.19174761
1699809380.88633,,1699809380.88616,24.207565058,0,-6.275803774,-0.19174761
1699809380.8868,,,,,,
1699809380.88858,,,,,,
1699809380.8886,,1699809380.88816,24.207565058,0,-6.276187269,-0.19174761
1699809380.89036,,,,,,
1699809380.8908,,1699809380.89016,24.207565058,0,-6.276235206,-0.095873805
1699809380.89245,,1699809380.89216,24.207565058,0,-6.276426953,-0.095873805
1699809380.89266,,,,,,
1699809380.8944,,,,,,
