__time,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1707741752.203881,,,1707741752.203289986,0.000000000,332.151877294,-2.948119514,0.000000000,2.717372439,0.557267956
1707741752.204678,-1.611625743,0.000000000,,,,,,,
1707741752.205531,,,1707741752.205300808,0.000000000,332.143895801,-3.175819974,0.000000000,2.717126762,0.413457257
1707741752.206658,-1.657502324,0.000000000,,,,,,,
1707741752.207768,,,1707741752.207415819,0.000000000,332.135842402,-3.355583348,0.000000000,2.716035449,0.209725434
1707741752.208652,-1.703117166,0.000000000,,,,,,,
1707741752.209517,,,1707741752.209425449,0.000000000,332.127285665,-3.559315171,0.000000000,2.714147184,-0.041943292
1707741752.210727,-1.748463067,0.000000000,,,,,,,
1707741752.211939,,,1707741752.211329699,0.000000000,332.118585118,-3.733086433,0.000000000,2.711435004,-0.323572598
1707741752.212759,-1.793532864,0.000000000,,,,,,,
1707741752.213774,,,1707741752.213322401,0.000000000,332.109165517,-3.942810368,0.000000000,2.708142339,-0.611194019
1707741752.214761,-1.838319442,0.000000000,,,,,,,
1707741752.215604,,,1707741752.215286970,0.000000000,332.099386389,-4.152534304,0.000000000,2.704231736,-0.904807576
1707741752.216758,-1.882815729,0.000000000,,,,,,,
1707741752.218040,,,1707741752.217343807,0.000000000,332.089055987,-4.368250353,0.000000000,2.699622304,-1.204413199
1707741752.218744,-1.927014696,0.000000000,,,,,,,
1707741752.219780,,,1707741752.219298840,0.000000000,332.078270185,-4.589958513,0.000000000,2.694716262,-1.486042484
1707741752.220763,-1.970909366,0.000000000,,,,,,,
1707741752.221519,,,1707741752.221291304,0.000000000,332.067028982,-4.811666674,0.000000000,2.689222244,-1.755687638
1707741752.222744,-2.014492807,0.000000000,,,,,,,
1707741752.223410,,,1707741752.223281622,0.000000000,332.055356347,-5.033374835,0.000000000,2.683172457,-2.037316923
1707741752.224761,-2.057758135,0.000000000,,,,,,,
1707741752.225833,,,1707741752.225374222,0.000000000,332.043683712,-5.225122433,0.000000000,2.676626823,-2.306961984
1707741752.226756,-2.100698520,0.000000000,,,,,,,
